resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
21948,891,813,3,16,17,17,17,17,0.0,43,\N,\N,35,12,1:52.579,223.970,11,2013
21949,891,824,206,22,15,18,18,18,0.0,43,\N,\N,37,20,1:54.894,219.457,11,2013
21950,891,820,206,23,16,19,19,19,0.0,42,\N,\N,31,21,1:54.924,219.400,12,2013
21951,891,814,10,14,5,\N,R,20,0.0,26,\N,\N,21,19,1:54.757,219.719,4,2013
21952,891,8,208,7,8,\N,R,21,0.0,25,\N,\N,20,17,1:53.688,221.785,23,2013
21953,891,819,207,20,22,\N,R,22,0.0,8,\N,\N,7,22,1:57.330,214.901,44,2013
21954,892,20,9,1,1,1,1,1,25.0,53,1:18:33.352,4713352,52,12,1:27.190,239.187,1,2013
21955,892,4,6,3,5,2,2,2,18.0,53,+5.467,4718819,52,5,1:26.797,240.270,1,2013
21956,892,17,9,2,2,3,3,3,15.0,53,+6.350,4719702,53,3,1:26.690,240.567,1,2013
21957,892,13,6,4,4,4,4,4,12.0,53,+9.361,4722713,48,10,1:27.095,239.448,1,2013
21958,892,807,15,11,3,5,5,5,10.0,53,+10.355,4723707,48,4,1:26.716,240.495,1,2013
21959,892,3,131,9,6,6,6,6,8.0,53,+10.999,4724351,50,2,1:26.500,241.095,1,2013
21960,892,817,5,19,7,7,7,7,6.0,53,+32.329,4745681,52,13,1:27.294,238.903,1,2013
21961,892,154,208,8,13,8,8,8,4.0,53,+33.130,4746482,52,8,1:27.043,239.591,1,2013
21962,892,1,131,10,12,9,9,9,2.0,53,+33.527,4746879,51,1,1:25.849,242.924,1,2013
21963,892,18,1,5,9,10,10,10,1.0,53,+38.327,4751679,46,16,1:27.830,237.445,1,2013
21964,892,8,208,7,11,11,11,11,0.0,53,+38.695,4752047,45,6,1:26.948,239.853,1,2013
21965,892,815,1,6,8,12,12,12,0.0,53,+39.765,4753117,44,15,1:27.607,238.049,1,2013
21966,892,821,15,12,16,13,13,13,0.0,53,+40.880,4754232,53,9,1:27.092,239.457,1,2013
21967,892,813,3,16,14,14,14,14,0.0,53,+49.085,4762437,51,7,1:26.981,239.762,1,2013
21968,892,822,3,17,18,15,15,15,0.0,53,+56.827,4770179,53,11,1:27.166,239.253,1,2013
21969,892,16,10,15,17,16,16,16,0.0,52,\N,\N,38,14,1:27.418,238.564,11,2013
